Name,Boot,OSType,Template,CustSpec,Folder,ResourcePool,CPU,RAM,Disk2,Disk3,Disk4,Datastore,DiskStorageFormat,NetType,Network,DHCP,IPAddress,SubnetMask,Gateway,pDNS
may-iholoviy-2012R2-datagen11,TRUE,windows,template-iholoviy-2012R2-datagen,simple,agents_for_R3,,2,2,,,,Compellent-LUN-7,Thick,VSS,VM Network,FALSE,10.35.182.163,255.255.0.0,10.35.0.1,10.35.20.10
may-iholoviy-2012R2-datagen12,TRUE,windows,template-iholoviy-2012R2-datagen,simple,agents_for_R3,,2,2,,,,Compellent-LUN-7,Thick,VSS,VM Network,FALSE,10.35.182.164,255.255.0.0,10.35.0.1,10.35.20.10
may-iholoviy-2012R2-datagen13,TRUE,windows,template-iholoviy-2012R2-datagen,simple,agents_for_R3,,2,2,,,,Compellent-LUN-7,Thick,VSS,VM Network,FALSE,10.35.182.165,255.255.0.0,10.35.0.1,10.35.20.10
may-iholoviy-2012R2-datagen14,TRUE,windows,template-iholoviy-2012R2-datagen,simple,agents_for_R3,,2,2,,,,Compellent-LUN-7,Thick,VSS,VM Network,FALSE,10.35.182.166,255.255.0.0,10.35.0.1,10.35.20.10
may-iholoviy-2012R2-datagen15,TRUE,windows,template-iholoviy-2012R2-datagen,simple,agents_for_R3,,2,2,,,,Compellent-LUN-7,Thick,VSS,VM Network,FALSE,10.35.182.167,255.255.0.0,10.35.0.1,10.35.20.10
may-iholoviy-2012R2-datagen16,TRUE,windows,template-iholoviy-2012R2-datagen,simple,agents_for_R3,,2,2,,,,Compellent-LUN-7,Thick,VSS,VM Network,FALSE,10.35.182.168,255.255.0.0,10.35.0.1,10.35.20.10
may-iholoviy-2012R2-datagen17,TRUE,windows,template-iholoviy-2012R2-datagen,simple,agents_for_R3,,2,2,,,,Compellent-LUN-7,Thick,VSS,VM Network,FALSE,10.35.182.169,255.255.0.0,10.35.0.1,10.35.20.10
may-iholoviy-2012R2-datagen18,TRUE,windows,template-iholoviy-2012R2-datagen,simple,agents_for_R3,,2,2,,,,Compellent-LUN-7,Thick,VSS,VM Network,FALSE,10.35.182.170,255.255.0.0,10.35.0.1,10.35.20.10
may-iholoviy-2012R2-datagen19,TRUE,windows,template-iholoviy-2012R2-datagen,simple,agents_for_R3,,2,2,,,,Compellent-LUN-7,Thick,VSS,VM Network,FALSE,10.35.182.171,255.255.0.0,10.35.0.1,10.35.20.10
may-iholoviy-2012R2-datagen20,TRUE,windows,template-iholoviy-2012R2-datagen,simple,agents_for_R3,,2,2,,,,Compellent-LUN-7,Thick,VSS,VM Network,FALSE,10.35.182.172,255.255.0.0,10.35.0.1,10.35.20.10
